name,protein,calories,fat,sugar,carbs
apple (1x),0.5,100,0.5,13,25
americano (with oat milk),0.5,25,0.5,2,4
americano (with oat creamer - caramel),0.5,25,1,2,4
americano (with oat creamer - vanilla),0.5,30,1,3,4
banana (1x),1.3,100,0.5,15,27
banana bread with chocolate chips,3,225,10,25,25
bell pepper (1x),1,30,0.3,2.4,6
blueberries (2/3 cup),1,45,0,7,10
bread - rye sourdough (1x),5,125,1,0,24
bread - whole grain (1x),4,80,1,2,35
broccoli (1 cup),4,54,0.6,2.2,6
bun - brioche (1x),5,150,3.5,4,26
bun - whole wheat hamburger (1x),6,160,2,2,20
canola oil (2 tsp),0,80,9,0,0
cashews (1/3 cup),7,250,19,2,12
chai latte (12 oz),1.5,220,7.6,29,45
cheddar cheese - shredded (1/4 cup),7,120,9,0,1
chick'n supreme (gardein),16,190,8,1,14
cookie (1x celebration butter),1,75,3,6,21
cookie (1x celebration caramel truffle),0.5,75,4,8,22
corn on the cob (1x),3,100,1.5,5,21
date (6x),0.4,40,0.2,25,30
donut (1x),3,300,15,12,35
egg (1x),6.5,80,5.5,0,1
energy ball (bliss ball),2,110,6,8,13
f'sh filet (1x),9,150,6,1,15
holy crap (2 tbsp),5,140,8,0,13
hot sauce - valentino's (1 tsp),0,0,0,0,0
hummus (2 tbsp),2,45,2.5,1,5
ice cream - halo top (3/4 cup),7,150,4.5,12,27
jam (Strawberry),0.1,50,0,13,13
ketchup or HP (1 tbsp),0,20,0,4,5
kiwi (1x),0.8,40,0.5,7,10
london fog (12 oz),4,220,5.5,32,42
margarine (2 tsp),0,70,8,0,0
matcha latte (12 oz),4,200,9,14,42
muffin (1x),6,400,15,30,55
oatmeal (1x),4,120,1.5,9,26
oat milk - unsweetened (1 cup),3,120,5,7,17
olive oil (2 tsp),0,80,9,0,0
pierogi (7x),11,380,5,2,48
pizza slice (1x),10,250,9,2,31
popsicle - L'il lolly (1x),0,35,0,7,9
potato (1x),4.5,164,0.2,2,37
potato patties (2x),2,170,9,1,21
peanut butter - Adams Creamy  (1 tbsp),4,90,7,1,3
peanut butter - Kraft Creamy  (1 tbsp),4,90,7,1,3
peanut butter - powdered (2 tbsp),5,50,1.5,1,5
pretzels (1 cup),5,190,0.5,1,41
protein bar (1x),13,150,4.5,2,16
protein powder - Progressive Harmonized Fermented Vegan (1x),22,120,1.5,0,3
protein powder - Progressive Sport Real Food Gainer (1x),29,480,2,5,89
sausage (1x soy),21,190,9,1,7
scone (blueberry),5,420,18,20,45
scone (pumpkin with icing),4,450,20,40,60
spaghetti,8,221,1.5,1,43
sweet potato (1x),2,112,0,6,24
tart cherry juice (1 cup),2,130,0,21,34
tempeh (half package),15,166,4,0,9
tofu - firm (1/4 package),13,120,7,1,3
tortilla - white (1x),3,100,2.5,1,17
vector (1 cup),10,170,1.5,12,30
water (700ml),0,0,0,0,0
yogourt - 0% fat greek-13 (3/4 cup),13,80,1,3,5
yogourt - 0% fat greek-17 (3/4 cup),17,100,0,6,8
