name,protein,calories,fat,sugar,carbs
apple (1x),0.5,100,0.5,13,
americano (with oat milk),0.5,25,0.5,2,
americano (with oat creamer - caramel),0.5,25,1,2,
americano (with oat creamer - vanilla),0.5,30,1,3,
banana (1x),1.3,100,0.5,15,
banana bread with chocolate chips,3,225,10,25,
bell pepper (1x),1,30,0.3,2.4,
blueberries (2/3 cup),1,45,0,7,
bread - whole grain (1x),4,80,1,2,
broccoli (1 cup),4,54,0.6,2.2,
bun - whole wheat hamburger (1x),6,160,2,2,
canola oil (2 tsp),0,80,9,0,
cashews (1/3 cup),7,250,19,2,
chai latte (12 oz),1.5,220,7.6,29,
cheddar cheese - shredded (1/4 cup),7,120,9,0,
cookie (1x celebration butter),1,75,3,6,
cookie (1x celebration caramel truffle),0.5,75,4,8,
date (6x),0.4,40,0.2,25,
egg (1x),6.5,80,5.5,0,
energy ball (bliss ball),2,110,6,8,
holy crap (2 tbsp),5,140,8,0,
hot sauce - valentino's (1 tsp),0,0,0,0,
hummus (2 tbsp),2,45,2.5,1,
ice cream - halo top (3/4 cup),7,150,4.5,12,
jam (Strawberry),0.1,50,0,13,
ketchup or HP (1 tbsp),0,20,0,4,
kiwi (1x),0.8,40,0.5,7,
london fog (12 oz),4,220,5.5,32,
margarine (2 tsp),0,70,8,0,
matcha latte (12 oz),4,200,9,14,
oatmeal (1x),4,120,1.5,9,
oat milk - unsweetened (1 cup),3,120,5,7,
olive oil (2 tsp),0,80,9,0,
pierogi (7x),11,380,5,2,
pizza slice (1x),10,250,9,2,
popsicle - L'il lolly (1x),0,35,0,7,
potato (1x),4.5,164,0.2,2,
potato patties (2x),2,170,9,1,
powdered peanut butter (2 tbsp),5,50,1.5,1,
pretzels (1 cup),5,190,0.5,1,
protein bar (1x),13,150,4.5,2,
protein powder - Progressive Harmonized Fermented Vegan (1x),22,120,1.5,0,
protein powder - Progressive Sport Real Food Gainer (1x),30,520,4,5,
scone (blueberry),5,420,18,20,
scone (pumpkin with icing),4,450,20,40,
sweet potato (1x),2,112,0,6,
tart cherry juice (1 cup),2,130,0,21,
tempeh (half package),15,166,4,0,
tofu - firm (1/4 package),13,120,7,1,
vector (1 cup),10,170,1.5,12,
water (700ml),0,0,0,0,
yogourt - 0% fat greek (1/2 cup),13,80,1,3,
